station/location;date;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;sre000m0;tre200m0;tre200mn;tre200mx;ure200m0
GVE;19620901;-;0;45;967.3;54.1;12582;15;1.2;32.6;69
GVE;19621001;-;0;58;968.9;34.2;8220;10.2;-0.6;24.3;79.4
GVE;19621101;-;0;70;961.9;32;4572;3;-7;17;82.1
GVE;19621201;-;0;89;965.3;131.1;1128;-1.2;-11.9;10.7;82.8
GVE;19630101;-;10;75;964.7;47;3612;-4.3;-18.9;7.8;79.3
GVE;19630201;-;3;73;957.6;67.1;4314;-2.7;-18.2;6.8;76.9
GVE;19630301;-;0;64;965.3;141.3;8436;4.1;-8.7;15;74
GVE;19630401;-;0;68;961.6;81;9726;9.6;-1.6;21.6;70.2
GVE;19630501;-;0;55;965.5;51.3;14334;12.4;0.5;23.4;67.9
GVE;19630601;-;0;66;964.3;170.2;11466;15.9;8.6;29.2;73.4
GVE;19630701;-;0;43;967.6;33.4;18498;19.3;8.3;30.2;67.7
GVE;19630801;-;0;59;964.3;202;12324;16.4;5.9;29.2;72.4
GVE;19630901;-;0;58;967.8;37.7;9108;14.7;3.1;24.7;77.9
GVE;19631001;-;0;53;970.2;32.7;9750;9.1;0.3;22;79.7
GVE;19631101;-;0;75;961.5;228;4314;7.6;-2.8;16.3;79.6
GVE;19631201;-;0;86;965.7;5.7;1716;-1;-10.6;8.3;80
GVE;19640101;-;7;95;977.6;25.7;768;-1.6;-6.7;4.5;84
GVE;19640201;-;0;59;965.7;29.4;8040;3.3;-6.8;14.9;73.7
GVE;19640301;-;0;81;960.3;182.3;4152;4.4;-4;11.8;77.8
GVE;19640401;-;0;61;964.3;65.2;10806;9.7;-1.3;21.5;68.3
GVE;19640501;-;0;59;967.8;35.9;13896;14.3;2.7;27.6;68.5
GVE;19640601;-;0;48;966.4;64.5;16320;17.5;7.3;29.9;65.3
GVE;19640701;-;0;33;968.6;91.5;20838;20.2;7.4;33.1;58.2
GVE;19640801;-;0;45;966.6;59.5;15414;17.9;7.2;31.8;63
GVE;19640901;-;0;45;970.6;63.7;12012;15.2;2.1;28.2;72.4
GVE;19641001;-;0;75;965.9;100.8;5328;9;0.3;21.5;73.8
GVE;19641101;-;0;81;969.9;53.6;2820;5.7;-1.2;15.8;81.5
GVE;19641201;-;2;88;965.2;30.3;672;0.4;-17;8.9;85
GVE;19650101;-;4;75;963.5;75;3174;0.7;-10.8;11.1;87
GVE;19650201;-;0;43;969.4;6.4;8724;-1;-11.4;9.4;74.3
GVE;19650301;-;4;59;966.4;129.8;8712;4.1;-13.3;18.7;78.7
GVE;19650401;-;0;68;962.9;73.5;8346;7.7;-1.2;19.7;74.8
GVE;19650501;-;0;61;965.4;107.4;13176;12.5;1.2;27;72.1
GVE;19650601;-;0;58;966.4;52.9;12954;16.7;3.1;32.2;72.6
GVE;19650701;-;0;59;965.9;136.3;13668;17.2;4;29.2;70.9
GVE;19650801;-;0;55;966.6;146.7;13458;16.6;5.9;30;74.2
GVE;19650901;-;0;64;964;209.8;8448;12.5;4.3;25.2;81.3
GVE;19651001;-;0;71;970;34.6;4752;9.8;0.1;19.3;86.5
GVE;19651101;-;1;86;960.9;136.1;1650;5.2;-6;18.3;80.5
GVE;19651201;-;0;80;961.9;197.9;2442;3.3;-6.2;12.9;85.1
GVE;19660101;-;2;74;963.7;101.3;3498;-0.2;-14.5;13;80.1
GVE;19660201;-;0;75;959.6;133.1;4620;5.4;-4.3;15.1;82.5
GVE;19660301;-;0;55;969.7;52;10932;4.4;-5.2;14.7;70.2
GVE;19660401;-;0;68;961.6;97.6;9696;10.3;-0.4;19;72.7
GVE;19660501;-;0;51;967.2;77.3;15606;13.6;2.2;25.2;69.3
GVE;19660601;-;0;51;966.8;26.8;15798;17.8;5.4;32;64.8
GVE;19660701;-;0;55;965.4;72.9;15384;17.4;7.7;31.6;65.4
GVE;19660801;-;0;61;965.9;61.6;12264;17.1;5.3;33.4;68
GVE;19660901;-;0;45;968.2;54.9;12018;15.9;6.1;31.3;72.3
GVE;19661001;-;0;69;960.3;114.6;6600;12.3;3.3;24.9;84.9
GVE;19661101;-;0;80;964.5;84.8;3030;3;-4.9;12.8;86.8
GVE;19661201;-;0;80;965.3;152.7;2622;2.3;-5;10.7;87.7
GVE;19670101;-;0;74;970.2;43;4734;0.8;-8.1;13.3;87.4
GVE;19670201;-;0;55;968.8;76.2;7308;2.9;-8.5;15.8;80.7
GVE;19670301;-;0;61;970.4;71.5;8772;6.7;-3.1;17.9;73.6
GVE;19670401;-;0;51;963.8;14.4;12582;8;-3.1;21.4;68.1
GVE;19670501;-;0;65;964.2;129.7;12798;12.3;-1.2;24.6;73
GVE;19670601;-;0;46;969;32.1;17268;15.7;4;30;66.8
GVE;19670701;-;0;36;968.7;70.9;19410;20.2;9.3;32.6;67
GVE;19670801;-;0;50;967.1;99.6;15018;18;7.1;31.7;72.2
GVE;19670901;-;0;64;967.3;98.7;8670;14.2;4;28.5;79.1
GVE;19671001;-;0;53;969.5;39.2;10374;11.9;0.4;24.2;81.3
